pool_hash;ticker;name;cluster_id;cluster_name
657adbe7f383bbe0b98a9ca74b9ebd5b9e7dff1e2ffeacbbeab20d76;0PCT2;0 Percent Pools;54;0pctpools.com
6184f6e7229530a2d1f9f746112406100e2696dd7439ff8c52750700;ZZZ;ZZZ;11;coinzzz.jp
86c8a19e4d6227da12d7c9c63c5fd7a83bf227a92089778f7d9ec0f9;ZZZ3;ZZZ3;11;coinzzz.jp
b4612c2a040b16344f3e463dbfa1940a78a0cea26fc962157630b78b;LFE;LFE stake pool;;
aef742cd720083790f58b8dced44b868e2496335061c2c5256b44e45;ZZZ2;ZZZ2;11;coinzzz.jp
2a748e3885f6f73320ad16a8331247b81fe01b8d39f57eec9caa5091;BERRY;Berry;;
80790f58f82501881d46bbb4f6b9d6536ac1a60fdd18350a0b7d50b0;ZZZ4;ZZZ4;11;coinzzz.jp
77ff160eacd3e99e84b70c9216f698965004da4b3dc628dac60cd290;OTAKU;Otaku Pool;;
e459e81629534ba3f4f6c674242778b24d4d7c9a56a56dff52679687;ALOHA;Aloha Cardano;;
de18050a35497096eecd2f93ddc2ea7e6c05cdae5575325327e223b3;HIVE;HIVE;;
b71410e0d4123b029ee91fd5132fb63f14e946f0246e8f9ae8298350;DRAG;Dragon Pool;;
91ab082852ea331c39eebae35a3e2a390ea26423d82a91c72a02fb85;ZZZ5;ZZZ5;11;coinzzz.jp
2f09336a66c36d0df40dc42f2454fe4f4311c23d312e3683be434081;JAPAN;JAPAN;16;tokyostaker.com
42c3740db23c3fc36cb9f63aa8070ec01417b4d22893463c8c8a21d4;ADAFR;ADAFR;;
76e80e1b3f622c7051f222453497b0667e12892f5d94ee565d17dc52;EU01;StakePool 24/7 Enterprice Level Stake Pool;;
ffffb02a48c007d4531ef7c38a6e354c013d47f9eb4862ac463d553d;EPIC;Epic Stake Pool;;
74a10b8241fc67a17e189a58421506b7edd629ac490234933afbed97;SAFE;🔒{SAFE}STAK;;
8fd80645f978b962da5932c976e76209329bc90d7fbc6bec04aa1d53;ZKOPE;ZKOPE Pool;;
4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af;1LOVE;Lovelacepool;;
9e0ecc753046778548dedec598c021edbb71fea2a001de3b4298cb19;CHAIN;chain;26;chainups.com
fcbfb4a3c18f890de7a51f68603b18e654f8b432abdda17c53a0d586;AAA;AAA;23;stakelovelace.io
f76e3a1104a9d816a67d5826a155c9e2979a839d0d944346d47e33ab;ST3AK;Steak.and.ADA;;
30c6319d1f680470c8d2d48f8d44fd2848fa9b8cd6ac944d4dfc0c54;JP3;JAPAN3;16;tokyostaker.com
